front,back,article,plural,category,exampleTarget,exampleNative,syn1Word,syn1Article,syn1Translation,syn1Example,syn1ExampleNative,syn2Word,syn2Article,syn2Translation,syn2Example,syn2ExampleNative,syn3Word,syn3Article,syn3Translation,syn3Example,syn3ExampleNative
the dog,Hund,der,die Hunde,Animals,Der Hund bellt laut.,The dog is barking loudly.,Köter,der,mutt / mongrel,Der Köter bellt die ganze Nacht.,The mutt barks all night.,Vierbeiner,der,four-legged friend,Ihr Vierbeiner ist sehr brav.,Her four-legged friend is very well-behaved.,,,,,
to travel,reisen,,,Travel,Wir reisen diesen Sommer nach Italien.,We are travelling to Italy this summer.,fahren,,to go / to drive,Ich fahre nächste Woche nach Berlin.,I am going to Berlin next week.,verreisen,,to go on a trip,Sie verreist oft für die Arbeit.,She often travels for work.,,,,,
go to the gym,ins Fitness-Studio gehen,,,Daily Life,Ich gehe dreimal pro Woche ins Fitness-Studio.,I go to the gym three times a week.,,,,,,,,,,,,,,,
to climb,klettern,,,Leisure,Er klettert jeden Samstag in der Halle.,He climbs at the gym every Saturday.,,,,,,,,,,,,,,,
to ski,Ski fahren,,,Leisure,Im Winter fahre ich gern Ski.,I like skiing in winter.,,,,,,,,,,,,,,,
to hike,wandern,,,Leisure,Wir wandern heute in den Bergen.,We are hiking in the mountains today.,,,,,,,,,,,,,,,
the trip / excursion,Ausflug,der,,Leisure,Der Ausflug war sehr schön.,The trip was really lovely.,,,,,,,,,,,,,,,
to go on an excursion,einen Ausflug machen,,,Leisure,Wir machen morgen einen Ausflug ans Meer.,We are going on a trip to the sea tomorrow.,,,,,,,,,,,,,,,
the cycling tour,Fahrradtour,die,,Leisure,Die Fahrradtour durch den Park hat Spaß gemacht.,The cycling tour through the park was fun.,,,,,,,,,,,,,,,
the picnic,Picknick,das,,Leisure,Wir machen ein Picknick im Park.,We are having a picnic in the park.,,,,,,,,,,,,,,,
the party / celebration,Fest,das,,Celebrations,Das Fest war wunderschön und sehr lustig.,The celebration was beautiful and very funny.,,,,,,,,,,,,,,,
to celebrate,feiern,,,Celebrations,Wir feiern heute Abend Silvester.,We are celebrating New Year's Eve tonight.,,,,,,,,,,,,,,,
the birthday,Geburtstag,der,,Celebrations,Morgen ist mein Geburtstag.,Tomorrow is my birthday.,,,,,,,,,,,,,,,
to become / turn (age),werden,,,Daily Life,Er wird nächste Woche dreißig Jahre alt.,He turns thirty next week.,,,,,,,,,,,,,,,
to give as a gift,schenken,,,Celebrations,Was schenkst du ihr zum Geburtstag?,What are you giving her for her birthday?,,,,,,,,,,,,,,,
the gift / present,Geschenk,das,,Celebrations,Das Geschenk ist sehr schön verpackt.,The gift is very nicely wrapped.,,,,,,,,,,,,,,,
to invite,einladen,,,Celebrations,Ich lade alle meine Freunde zum Fest ein.,I am inviting all my friends to the party.,,,,,,,,,,,,,,,
the date,Datum,das,,Daily Life,Welches Datum ist heute?,What is today's date?,,,,,,,,,,,,,,,
the surprise,Überraschung,die,,Celebrations,Die Überraschung hat ihr sehr gefallen.,She really liked the surprise.,,,,,,,,,,,,,,,
Attention! / Watch out!,Achtung!,,,Daily Life,Achtung – das ist sehr heiß!,Attention – that is very hot!,,,,,,,,,,,,,,,
to know (a fact),wissen,,,Daily Life,Weißt du wo er wohnt?,Do you know where he lives?,,,,,,,,,,,,,,,
to bring along,mitbringen,,,Daily Life,Kannst du etwas zu essen mitbringen?,Can you bring something to eat?,,,,,,,,,,,,,,,
to have fun,Spaß haben,,,Daily Life,Wir haben viel Spaß zusammen.,We have a lot of fun together.,,,,,,,,,,,,,,,
hopefully,hoffentlich,,,Daily Life,Hoffentlich kommt ihr pünktlich.,Hopefully you will come on time.,,,,,,,,,,,,,,,
the email,Mail,die,,Communication,Ich schicke dir gleich eine Mail.,I will send you an email right away.,,,,,,,,,,,,,,,
to send,schicken,,,Communication,Schick mir bitte die Adresse.,Please send me the address.,,,,,,,,,,,,,,,
the subject (of an email),Betreff,der,,Communication,Der Betreff der Mail ist sehr wichtig.,The subject line of the email is very important.,,,,,,,,,,,,,,,
the greeting / salutation,Anrede,die,,Communication,Die Anrede in einer formellen Mail ist wichtig.,The salutation in a formal email is important.,,,,,,,,,,,,,,,
warm regards,herzliche Grüße,,,Communication,Mit herzlichen Grüßen – dein Thomas.,With warm regards – yours Thomas.,,,,,,,,,,,,,,,
the sparkling water,Schorle,die,,Food,Ich trinke eine Apfelschorle.,I am drinking an apple spritzer.,,,,,,,,,,,,,,,
the ice cream,Eis,das,,Food,Ich esse gern Eis im Sommer.,I like eating ice cream in summer.,,,,,,,,,,,,,,,
the salami,Salami,die,,Food,Die Salami auf der Pizza ist sehr gut.,The salami on the pizza is very good.,,,,,,,,,,,,,,,
the schnitzel,Schnitzel,das,,Food,Das Wiener Schnitzel schmeckt ausgezeichnet.,The Wiener Schnitzel tastes excellent.,,,,,,,,,,,,,,,
the tomato soup,Tomatensuppe,die,,Food,Die Tomatensuppe ist heute sehr heiß.,The tomato soup is very hot today.,,,,,,,,,,,,,,,
the sandwich,Sandwich,der,,Food,Er isst jeden Mittag ein Sandwich.,He eats a sandwich every lunchtime.,,,,,,,,,,,,,,,
the thirst,Durst,der,,Food,Nach dem Sport habe ich großen Durst.,After sport I am very thirsty.,,,,,,,,,,,,,,,
the hunger,Hunger,der,,Food,Ich habe Hunger – wann essen wir?,I am hungry – when do we eat?,,,,,,,,,,,,,,,
the menu,Speisekarte,die,,Food,Kann ich bitte die Speisekarte haben?,Can I have the menu please?,,,,,,,,,,,,,,,
the order,Bestellung,die,,Food,Die Bestellung hat lange gedauert.,The order took a long time.,,,,,,,,,,,,,,,
to order,bestellen,,,Food,Ich möchte bitte einen Kaffee bestellen.,I would like to order a coffee please.,,,,,,,,,,,,,,,
to bring,bringen,,,Daily Life,Können Sie mir bitte die Rechnung bringen?,Can you please bring me the bill?,,,,,,,,,,,,,,,
For whom is ...?,Für wen ist ...?,,,Food,Für wen ist die Tomatensuppe?,Who is the tomato soup for?,,,,,,,,,,,,,,,
to pay,bezahlen,,,Food,Ich möchte jetzt bezahlen bitte.,I would like to pay now please.,,,,,,,,,,,,,,,
to pay (numbers),zahlen,,,Food,Zahlen bitte! – Ja natürlich.,The bill please! – Yes of course.,,,,,,,,,,,,,,,
the bill / invoice,Rechnung,die,,Food,Die Rechnung war höher als erwartet.,The bill was higher than expected.,,,,,,,,,,,,,,,
Together or separately?,Zusammen oder getrennt?,,,Food,Zahlen Sie zusammen oder getrennt?,Are you paying together or separately?,,,,,,,,,,,,,,,
the tip,Trinkgeld,das,,Food,Das Trinkgeld war sehr großzügig.,The tip was very generous.,,,,,,,,,,,,,,,
he/it gives,geben,,,Daily Life,Er gibt dem Kellner das Trinkgeld.,He gives the waiter the tip.,,,,,,,,,,,,,,,
That is correct.,Stimmt so.,,,Food,Das stimmt so – behalten Sie den Rest!,That is correct – keep the change!,,,,,,,,,,,,,,,
the fork,Gabel,die,,Food,Die Gabel liegt links vom Teller.,The fork lies to the left of the plate.,,,,,,,,,,,,,,,
the knife,Messer,das,,Food,Das Messer ist sehr scharf.,The knife is very sharp.,,,,,,,,,,,,,,,
the spoon,Löffel,der,,Food,Kann ich bitte einen Löffel haben?,Can I please have a spoon?,,,,,,,,,,,,,,,
the glass,Glas,das,,Food,Das Glas Wasser ist kalt und erfrischend.,The glass of water is cold and refreshing.,,,,,,,,,,,,,,,
the cup,Tasse,die,,Food,Die Tasse Kaffee ist noch warm.,The cup of coffee is still warm.,,,,,,,,,,,,,,,
the plate,Teller,der,,Food,Der Teller ist schön dekoriert.,The plate is nicely decorated.,,,,,,,,,,,,,,,
the napkin,Serviette,die,,Food,Können Sie mir bitte eine Serviette geben?,Can you please give me a napkin?,,,,,,,,,,,,,,,
the pub / bar,Kneipe,die,,Food,Wir treffen uns heute Abend in der Kneipe.,We are meeting at the pub this evening.,,,,,,,,,,,,,,,
the café,Kaffeehaus,das,,Food,Das Kaffeehaus ist am Wochenende sehr voll.,The café is very full at the weekend.,,,,,,,,,,,,,,,
the restaurant / venue,Lokal,das,,Food,Das Lokal hat sehr gute Bewertungen.,The restaurant has very good reviews.,,,,,,,,,,,,,,,
